"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks, Special","White",6223,4210258,"TR.W.GLITTER","BRICK 2X2 - TR.",
"Bricks, Special","White",26451,6150330,"TR.W.GLITTER","GLASS CASE","£0.26"
"Bricks, Special","White",30063,4243779,"TR.W.GLITTER","PARABOLIC ELEMENT Ø16 - TR",
"Bricks, Special","White",30106,6093747,"TR.W.GLITTER","CRYSTAL GLOBE",
"Bricks, Special","White",30106,6093747,"TR.W.GLITTER","CRYSTAL GLOBE",
"Bricks","White",31460,4260948,"TR.W.GLITTER","DUPLO BRICK 2X2, TRANSPARENT",
"Bricks","White",42077,4162968,"TR.W.GLITTER","DUPLO STICK WITH FLOWER",
"Bricks","White",42077,4162968,"TR.W.GLITTER","DUPLO STICK WITH FLOWER",
"Bricks","White",42077,4162968,"TR.W.GLITTER","DUPLO STICK WITH FLOWER",
"Bricks","White",42077,4162968,"TR.W.GLITTER","DUPLO STICK WITH FLOWER",
"Bricks","White",42077,4162968,"TR.W.GLITTER","DUPLO STICK WITH FLOWER",
"Bricks","White",42077,4162968,"TR.W.GLITTER","DUPLO STICK WITH FLOWER",
"Bricks","White",42657,4260949,"TR.W.GLITTER","DUPLO BRICK 1X2X2, TRANSPARENT",
