"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Plates, special","White","10201","6089574","White","ANGLE PLATE 1X2/1X4","£0.13"
"Plates, special","Black","10201","6089577","Black","ANGLE PLATE 1X2/1X4","£0.13"
"Plates, special","White","10247","6061024","White","PLATE 2X2 + ONE HULE Ø4,8","£0.10"
"Plates, special","Black","10247","6061032","Black","PLATE 2X2 + ONE HULE Ø4,8","£0.10"
"Wheel base","Black","10313","6092658","Black","BEARING ELEMENT 2X2, SINGLE","£0.17"
"Signs, flags and poles","White","11055","6011794","White","FLAG WITH 2 HOLDERS","£0.14"
"Bricks with bows and arches","Black","11153","6037746","Black","BRICK WITH BOW 1X4","£0.12"
"Bricks with bows and arches","Dark Green","11153","6042951","Dark green","BRICK WITH BOW 1X4","£0.12"
"Bricks with bows and arches","Grey","11153","6042955","Dark stone grey","BRICK WITH BOW 1X4","£0.12"
"Bricks with bows and arches","White","11153","6045936","White","BRICK WITH BOW 1X4","£0.12"
"Bricks with bows and arches","Red","11153","6045937","Bright red","BRICK WITH BOW 1X4","£0.12"
"Bricks, special","Grey","11211","6015344","Medium stone grey","BRICK 1X2 W. 2 KNOBS","£0.13"
"Bricks, special","Reddish Brown","11211","6024495","Brick yellow","BRICK 1X2 W. 2 KNOBS","£0.13"
"Bricks, special","White","11211","6058177","White","BRICK 1X2 W. 2 KNOBS","£0.13"
"Bricks, special","Dark Green","11211","6129807","Dark green","BRICK 1X2 W. 2 KNOBS","£0.13"
"Bricks, special","Grey","11215","6028811","Medium stone grey","STONE 1X2X1 1/3 W. 2 PLATES 2X2","£0.26"
"Bricks, special","White","11215","6053026","White","STONE 1X2X1 1/3 W. 2 PLATES 2X2","£0.26"
"Figure, head clothing","Red","11303","6032178","Bright red","FIGUR HEAD CLOTHING NO 6","£0.13"
"Plates, special","Grey","11476","6028812","Medium stone grey","PLATE 1X2 W. 1 HORIZONTAL SNAP","£0.11"
"Bricks with bows and arches","Red","11477","6029946","Bright red","PLATE W. BOW 1X2X2/3","£0.08"
"Bricks with bows and arches","Grey","11477","6029948","Dark stone grey","PLATE W. BOW 1X2X2/3","£0.08"
"Bricks with bows and arches","White","11477","6034044","White","PLATE W. BOW 1X2X2/3","£0.08"
"Bricks with bows and arches","Dark Green","11477","6047426","Dark green","PLATE W. BOW 1X2X2/3","£0.08"
"Bricks with bows and arches","Bright Orange","11477","6055069","Bright orange","PLATE W. BOW 1X2X2/3","£0.08"
"Bricks with bows and arches","Dark Green","11477","6069006","Bright yellowish green","PLATE W. BOW 1X2X2/3","£0.08"
"Bricks with bows and arches","Purple","11477","6070763","Bright reddish violet","PLATE W. BOW 1X2X2/3","£0.08"
"Foodstuff","Reddish Brown","11610","6017003","Brick yellow","CONE 1X1 INVERTEDE W. SHAFT","£0.06"
"Foodstuff","Black","11610","6056234","Black","CONE 1X1 INVERTEDE W. SHAFT","£0.06"
"Figure, heads and masks","Yellow","12813","6021844","Bright yellow","MINI HEAD ""NO 1147""","£0.16"
