"ItemNo","ItemDescr","ColourLikeDescr","ColourDescr","MaingroupDescr","Price","DesignId"
203224,"DUPLO TRUCK BODY 2X6","Yellow","BR.YEL","Bricks","-1.00",2032
4285230,"DUPLO TRUCK BODY 2X6","Grey","MED. ST-GREY","Bricks","-1.00",2032
6001908,"DUPLO TRUCK BODY 2X6","","BR.GREEN","Bricks","-1.00",2032
4216553,"DUPLO FIRELADDER","Grey","MED. ST-GREY","Bricks","-1.00",2033
4119500,"FABULAND STANDARD","White","WHITE","Bricks, Special","-1.00",2039
4210977,"FABULAND STANDARD","Grey","DK. ST. GREY","Bricks, Special","-1.00",2039
4264440,"DUPLO AEROPLANE, WING 4X16X1/2","White","WHITE","Bricks","-1.00",2155
4223366,"DUPLO AEROPL.,ELEVATOR 3X8X1/2","","BR.ORANGE","Bricks","-1.00",2156
4264414,"DUPLO DOOR","Yellow","BR.YEL","Bricks","-1.00",2205
4283908,"DUPLO DOOR","Blue","EARTH BLUE","Bricks","-1.00",2205
4170372,"DUPLO WINDOW","","BR.GREEN","Bricks","-1.00",2206
4283909,"DUPLO WINDOW","Blue","EARTH BLUE","Bricks","-1.00",2206
4494954,"DUPLO WINDOW","","SILVER","Bricks","-1.00",2206
4100712,"DUPLO RAIL 1X6","Red","BR.RED","Bricks","-1.00",2214
4100714,"DUPLO RAIL 1X6","Blue","BR.BLUE","Bricks","-1.00",2214
4100715,"DUPLO RAIL 1X6","Yellow","BR.YEL","Bricks","-1.00",2214
4171042,"DUPLO RAIL 1X6","","SILVER","Bricks","-1.00",2214
4261686,"DUPLO RAIL 1X6","","BR.ORANGE","Bricks","-1.00",2214
4617601,"DUPLO RAIL 1X6","","SILVER MET.","Bricks","-1.00",2214
222224,"DUPLO PICK-UP, CRANE ARM","Yellow","BR.YEL","Bricks","-1.00",2222
4171976,"DUPLO PICK-UP, CRANE ARM","","BR.ORANGE","Bricks","-1.00",2222
4276165,"DUPLO PICK-UP, CRANE ARM","","SILVER","Bricks","-1.00",2222
4580723,"DUPLO PICK-UP, CRANE ARM","","DK.ORA","Bricks","-1.00",2222
4646777,"DUPLO PICK-UP, CRANE ARM","","SILVER MET.","Bricks","1.37",2222
222324,"DUPLO PICK-UP, LADDERCONSOLE","Yellow","BR.YEL","Bricks","-1.00",2223
